No,UHH
1,66.2758
2,56.05849
3,62.22513
4,55.958836
5,62.196575
6,55.954334
7,62.073215
8,60.035023
9,53.281845
10,60.04024
11,59.94245
12,65.24884
13,62.47421
14,61.98711
15,63.38259
16,54.310577
17,55.68184
18,54.341347
19,54.340176
20,51.76735
21,52.729942
22,54.328247
23,52.639263
24,53.8602
25,54.32912
26,52.625286
27,51.497524
28,55.25099
29,57.580082
30,57.634945
31,57.785442
32,58.005554
33,56.145123
34,56.158394
35,56.152676
36,57.707325
37,56.08163
38,56.08018
39,56.079506
40,56.090622
41,56.124058
42,56.201313
43,56.57372
44,55.913906
45,55.884903
46,57.042076
47,57.040943
48,56.548126
49,55.879333
50,56.569485
51,55.875
52,56.538868
53,55.877
54,71.818054
55,71.82372
56,71.82181
57,71.825775
58,71.824646
59,70.653496
60,71.78516
61,70.74545
62,71.736115
63,71.736115
64,71.76287
65,70.41339
66,70.777145
67,71.77358
68,71.77376
69,71.71651
70,70.78748
71,70.61906
72,71.71622
73,71.75485
74,70.65754
75,71.72415
76,71.6656
77,70.665565
78,71.69776
79,70.83302
80,70.77372
81,70.8488
82,71.65896
83,70.65884
84,71.6597
85,71.57872
86,72.602196
87,70.51736
88,71.5132
89,71.51478
90,71.57132
91,71.546776
92,71.57132
93,71.54216
94,70.929726
95,70.929344
96,71.54517
97,70.92726
98,70.96428
99,70.68651
100,71.50668
101,70.90694
102,70.16818
103,71.505875
104,70.90938
105,71.50428
106,71.54252
107,70.93583
108,71.53947
109,70.9377
110,71.56782
111,70.93759
112,70.68779
113,71.53433
114,70.93524
115,71.532745
116,71.536575
117,70.93498
118,71.53512
119,70.68824
120,71.53951
121,70.92385
122,70.68711
123,70.93016
124,71.53249
125,71.49974
126,71.49893
127,70.88172
128,70.68295
129,70.97104
130,70.97732
131,71.53294
132,71.530716
133,70.69919
134,70.97533
135,71.530716
136,69.596535
137,70.950714
138,70.701706
139,70.951416
140,70.697296
141,71.5239
142,70.69587
143,71.52167
144,70.58126
145,70.69287
146,70.942764
147,70.69619
148,71.46224
149,71.49178
150,70.92973
151,70.689835
152,71.48954
153,69.81368
154,70.696754
155,71.482956
156,71.47675
157,70.94258
158,71.427734
159,70.72471
160,71.08689
161,71.42534
162,71.07783
163,71.367386
164,71.36232
165,71.33199
166,70.75288
167,71.17772
168,71.20048
169,70.755325
170,71.362434
171,71.88686
172,70.75662
173,71.38027
174,71.388016
175,71.23835
176,70.801636
177,71.38722
178,72.05443
179,70.75624
180,71.26969
181,71.40121
182,71.406944
183,71.25998
184,71.369514
185,71.42479
186,71.42268
187,70.7729
188,71.38468
189,71.524124
190,71.517265
191,70.773186
192,70.81518
193,70.875824
194,71.67091
195,70.90665
196,71.68855
197,63.08215
198,61.202972
199,61.20516
200,63.07195
201,61.159786
202,61.16352
203,63.035454
204,62.22302
205,63.262684
206,60.848183
207,62.26592
208,63.022728
209,61.17689
210,63.037388
211,61.210304
212,61.17331
213,63.01742
214,62.96789
215,62.961685
216,61.16941
217,63.011745
218,63.00608
219,62.230587
220,61.16965
221,62.228767
222,63.01017
223,62.992054
224,61.20071
225,59.741474
226,61.17516
227,61.183765
228,61.19447
229,62.783676
230,62.782974
231,61.198948
232,61.172615
233,61.20097
234,61.238743
235,61.245026
236,61.24953
237,62.808605
238,62.802395
239,61.238426
240,62.764793
241,61.19087
242,62.76411
243,59.7579
244,62.80656
245,62.262825
246,62.804173
247,62.26119
248,62.79897
249,61.204426
250,62.262447
251,62.797375
252,62.25686
253,62.296196
254,62.258404
255,62.255222
256,62.255222
257,62.786106
258,61.203705
259,62.286427
260,62.78639
261,61.205505
262,62.254665
263,62.755005
264,59.761036
265,62.25749
266,62.75277
267,61.19463
268,62.793667
269,61.20712
270,61.2439
271,62.2599
272,62.262108
273,62.787106
274,62.28376
275,61.211487
276,62.778076
277,62.772575
278,58.677425
279,62.771782
280,61.20944
281,62.77114
282,61.20625
283,62.770336
284,62.766018
285,62.76674
286,62.765945
287,61.207718
288,62.96627
289,62.25604
290,61.202435
291,61.252014
292,62.771187
293,59.77209
294,61.207336
295,62.71567
296,61.207336
297,62.714237
298,62.713436
299,59.77085
300,61.307465
301,61.27746
302,62.291466
303,62.514576
304,62.29479
305,61.23447
306,61.256943
307,62.393787
308,62.313835
309,62.336506
310,59.818398
311,62.31689
312,62.399544
313,62.397312
314,62.310246
315,62.324238
316,62.327816
317,62.325375
318,62.30593
319,62.299343
320,62.335224
321,62.27307
322,59.833935
323,62.33115
324,62.26913
325,62.33613
326,60.65346
327,58.354607
328,59.40777
329,60.63009
330,60.62603
331,60.58292
332,60.581112
333,58.34551
334,59.415146
335,60.621223
336,60.62025
337,60.575237
338,57.930153
339,58.3453
340,59.455956
341,58.392967
342,60.609962
343,58.35325
344,60.60289
345,60.60066
346,58.395763
347,60.80142
348,58.354664
349,60.577354
350,59.413918
351,60.562183
352,59.419964
353,60.525692
354,58.36122
355,59.416237
356,60.55732
357,58.361977
358,60.551556
359,58.000977
360,60.54601
361,58.365185
362,60.546707
363,59.420147
364,60.542053
365,58.360497
366,60.49237
367,59.422283
368,60.508587
369,60.46066
370,56.471355
371,60.314987
372,58.38192
373,58.36608
374,56.844982
375,60.330917
376,58.364582
377,60.37134
378,60.365314
379,58.445015
380,58.41899
381,60.32233
382,60.31854
383,60.349834
384,58.436134
385,58.394333
386,60.341866
387,58.392612
388,58.39063
389,60.342045
390,56.824535
391,58.390934
392,59.452282
393,60.345104
394,59.448284
395,60.33892
396,58.447292
397,59.453365
398,60.34739
399,56.80786
400,58.396397
401,60.326313
402,58.396206
403,59.45178
404,60.32327
405,57.650974
406,59.453568
407,58.432796
408,60.316444
409,58.9774
410,59.452126
411,59.45425
412,59.45425
413,59.45107
414,58.39661
415,60.317448
416,58.39661
417,59.452465
418,59.451405
419,60.312973
420,60.312176
421,60.27016
422,58.39682
423,57.609997
424,60.317238
425,58.393124
426,57.600964
427,60.260376
428,58.39164
429,60.12427
430,60.109463
431,59.483734
432,60.09679
433,59.489506
434,60.001736
435,60.001568
436,59.994682
437,59.997986
438,59.99791
439,61.50227
440,59.944622
441,59.97656
442,59.97379
443,59.97379
444,59.541096
445,59.506092
446,59.956127
447,59.006416
448,59.504684
449,59.947678
450,59.868343
451,59.867466
452,58.421734
453,59.85926
454,59.80511
455,59.84878
456,57.303623
457,59.838158
458,58.467316
459,59.521435
460,59.793865
461,59.526573
462,59.83233
463,59.819313
464,59.818516
465,58.46259
466,59.766365
467,59.742195
468,59.740852
469,60.703426
470,59.632427
471,59.732418
472,59.622208
473,55.998466
474,65.04383
475,67.01476
476,67.0455
477,65.064735
478,65.06025
479,67.489914
480,65.025665
481,67.49688
482,67.53458
483,68.581154
484,66.97991
485,67.47478
486,67.48441
487,67.484795
488,67.42152
489,67.46038
490,68.51664
491,67.41419
492,66.8989
493,67.14459
494,62.338604
495,66.68651
496,62.038486
497,66.69771
498,67.025185
499,67.02373
500,66.67773
501,68.28942
502,66.68705
503,67.05252
504,63.669502
505,68.28375
506,67.001335
507,66.62487
508,66.65515
509,62.323246
510,61.980545
511,67.04686
512,67.017426
513,68.26387
514,67.01227
515,67.01537
516,67.01019
517,67.00597
518,67.00184
519,66.65583
520,66.99985
521,66.9533
522,68.24361
523,66.94523
524,66.99582
525,65.10631
526,66.64138
527,66.638336
528,66.40357
529,66.39895
530,66.39733
531,66.637215
532,62.3451
533,66.3839
534,67.78747
535,62.70409
536,66.31536
537,67.66899
538,66.3585
539,62.76898
540,66.32652
541,66.38314
542,66.44402
543,66.458595
544,58.476074
545,59.13062
546,58.530155
547,59.1252
548,59.120674
549,58.479946
550,58.465572
551,59.073612
552,59.071774
553,55.7656
554,58.462982
555,58.4735
556,59.049038
557,58.45675
558,59.90724
559,58.510326
560,59.0704
561,59.043713
562,58.499317
563,59.88605
564,58.963394
565,58.937862
566,58.96674
567,58.88742
568,60.226498
569,58.30544
570,58.581547
571,58.56682
572,58.56806
573,58.29929
574,58.60863
575,58.37043
576,58.582962
577,58.317112
578,58.58255
579,58.41803
580,58.317974
581,58.543465
582,58.545128
583,58.542095
584,59.61638
585,59.61655
586,58.564316
587,58.321644
588,58.321888
589,58.322063
590,58.32553
591,59.604443
592,58.551975
593,59.60577
594,58.549923
595,58.549667
596,59.567284
597,59.59681
598,59.596024
599,58.516384
600,58.33374
601,58.333977
602,59.618855
603,59.58775
604,58.334335
605,59.581387
606,59.6257
607,58.334843
608,58.33771
609,58.50652
610,58.33512
611,59.576344
612,58.334557
613,58.501003
614,57.0598
615,58.505478
616,58.51609
617,58.503483
618,59.579494
619,59.579346
620,58.31889
621,58.457943
622,58.333176
623,58.43434
624,58.413197
625,58.085117
626,58.083687
627,58.4041
628,58.06029
629,58.40473
630,58.413292
631,59.284294
632,54.99614
633,57.860947
634,57.82826
635,57.777424
636,59.223167
637,57.802876
638,57.76091
639,59.213818
640,59.214317
641,57.793804
642,59.23587
643,59.22715
644,57.628532
645,54.811398
646,59.225185
647,59.24114
648,57.671352
649,57.635593
650,58.519566
651,57.619232
652,58.52628
653,57.605762
654,57.549145
655,57.44366
656,57.473335
657,58.609955
658,57.05375
659,57.244797
660,59.325096
661,57.475582
662,57.42159
663,55.78742
664,55.578186
665,55.604248
666,55.776806
667,57.41962
668,55.784245
669,57.02822
670,55.5605
671,57.39305
672,55.8229
673,57.039124
674,57.38611
675,55.75488
676,57.361244
677,55.755173
678,57.01649
679,57.363174
680,55.75748
681,57.019653
682,54.38
683,55.755795
684,55.744858
685,57.011703
686,57.328262
687,55.723637
688,55.724976
689,55.6976
690,55.683834
691,57.19863
692,57.097786
693,56.816578
694,54.188576
695,55.690895
696,56.79546
697,56.844173
698,54.723526
699,56.838924
700,55.699776
701,54.623528
702,55.690327
703,55.693604
704,56.77937
705,56.799313
706,55.24589
707,55.2355
708,55.6938
709,55.698936
710,55.746346
711,56.81389
712,56.77661
713,56.77661
714,56.80538
715,56.77502
716,56.80565
717,56.810776
718,56.77487
719,54.37842
720,54.65923
721,55.655624
722,56.772026
723,56.76868
724,56.766445
725,55.71215
726,56.737213
727,56.773697
728,55.712505
729,56.75635
730,56.772114
731,56.758278
732,54.14971
733,56.749825
734,56.737812
735,56.736603
736,56.712612
737,55.182514
738,55.67396
739,55.19281
740,54.488575
741,56.375336
742,54.944645
743,55.794407
744,55.785187
745,56.527
746,56.20573
747,56.20589
748,55.837337
749,56.187405
750,56.164383
751,56.548748
752,56.151268
753,55.85241
754,56.033844
755,55.997818
756,56.004326
757,55.896446
758,55.991055
759,55.987602
760,55.892582
761,54.397984
762,56.605175
763,55.81889
764,53.643818
765,53.622383
766,63.80872
767,68.04334
768,63.313908
769,67.206055
770,63.23596
771,60.772434
772,60.743507
773,60.744595
774,60.742264
775,60.711018
776,60.712345
777,60.71705
778,60.717293
779,60.686108
780,60.68744
781,60.668995
782,60.639168
783,65.18343
784,60.58361
785,60.58962
786,60.583275
787,61.913853
788,60.235325
789,60.23252
790,60.232563
791,60.234543
792,60.207794
793,60.210655
794,60.206722
795,64.520096
796,60.20491
797,60.205154
798,60.20547
799,64.502754
800,60.182217
801,64.65313
802,64.50262
803,60.15801
804,60.15456
805,60.15344
806,60.151154
807,64.622536
808,60.14872
809,60.150517
810,60.177288
811,60.146694
812,64.6162
813,60.17454
814,60.146423
815,60.411892
816,60.146908
817,60.14224
818,60.14249
819,60.125694
820,60.12601
821,60.12134
822,60.10465
823,59.72142
824,59.577038
825,59.578186
826,59.535442
827,59.51543
828,64.04867
829,59.38874
830,64.07859
831,64.0182
832,59.349087
833,59.328545
834,63.440975
835,63.988785
836,59.276463
837,59.287483
838,59.992348
839,62.589756
840,59.992302
841,59.99025
842,62.559902
843,59.964558
844,59.964798
845,59.967674
846,59.965603
847,59.943752
848,59.94276
849,59.942207
850,59.93886
851,59.913914
852,59.88518
853,59.84499
854,59.74248
855,60.522404
856,61.966587
857,59.43498
858,59.43238
859,59.43475
860,59.411575
861,59.417305
862,59.416836
863,59.388317
864,59.38927
865,61.773098
866,61.851635
867,59.35999
868,59.338837
869,59.341587
870,58.988102
871,56.85518
872,58.73154
873,58.683754
874,58.662582
875,58.62998
876,58.62902
877,58.610256
878,58.47481
879,58.457733
880,58.455635
881,59.23857
882,59.222313
883,59.391495
884,59.38314
885,59.814583
886,59.195164
887,59.19435
888,59.813995
889,59.189186
890,59.363346
891,59.78361
892,59.170254
893,59.171837
894,59.171616
895,59.37503
896,59.787846
897,59.170033
898,59.14955
899,59.756947
900,59.352604
901,59.142002
902,59.354813
903,59.139412
904,59.118916
905,59.724617
906,59.3493
907,59.119686
908,59.118176
909,59.727253
910,59.727253
911,59.140404
912,59.094364
913,56.0274
914,59.328724
915,59.328724
916,59.701458
917,59.694607
918,59.699272
919,59.091747
920,59.080807
921,59.064644
922,59.669044
923,59.064644
924,56.016056
925,59.068275
926,59.048584
927,59.64339
928,59.307972
929,59.29339
930,59.04441
931,59.04682
932,59.020565
933,59.016388
934,59.026894
935,59.274094
936,59.55121
937,58.943165
938,59.513313
939,59.760616
940,59.218063
941,59.21433
942,59.219654
943,58.725536
944,59.13412
945,59.14521
946,58.687725
947,57.394382
948,59.224148
949,59.77538
950,58.68848
951,59.128227
952,55.492798
953,59.222935
954,58.684666
955,58.683674
956,58.67213
957,59.11092
958,58.67099
959,54.9435
960,59.16427
961,57.428394
962,59.12027
963,58.66435
964,59.11581
965,59.115322
966,58.66081
967,59.124233
968,57.341267
969,59.162838
970,59.12392
971,59.190235
972,58.665707
973,59.116566
974,58.66521
975,55.475136
976,59.185383
977,59.115185
978,58.659626
979,58.657864
980,58.675987
981,59.206203
982,59.184807
983,59.11208
984,59.06287
985,58.641754
986,58.638077
987,58.663975
988,59.16871
989,59.103832
990,59.103443
991,58.63971
992,59.102947
993,59.135227
994,59.064102
995,59.092205
996,59.164814
997,59.09171
998,58.617218
999,59.09121
1000,58.612545
1001,58.61372
1002,58.612732
1003,59.161102
1004,58.612232
1005,56.563786
1006,59.131554
1007,59.08947
1008,58.609287
1009,59.090656
1010,58.606655
1011,59.068256
1012,58.6087
1013,59.122036
1014,59.12546
1015,58.591843
1016,55.361713
1017,59.102295
1018,58.5894
1019,57.271526
1020,59.03668
1021,55.364964
1022,59.070312
1023,59.111626
1024,58.593067
1025,59.104134
1026,59.1427
1027,59.103634
1028,58.943066
1029,58.544277
1030,58.5652
1031,57.240143
1032,59.070812
1033,58.213005
1034,58.594376
1035,58.191444
1036,58.191444
1037,58.1874
1038,58.594837
1039,57.97264
1040,58.570686
1041,58.407963
1042,57.961224
1043,57.953403
1044,57.95759
1045,57.932934
1046,58.75848
1047,57.934635
1048,57.93085
1049,57.91123
1050,57.910736
1051,57.86279
1052,57.883877
1053,58.348007
1054,57.884594
1055,57.641895
1056,57.89683
1057,58.333336
1058,57.710484
1059,57.7124
1060,57.686665
1061,57.686676
1062,58.28593
1063,57.68534
1064,57.656384
1065,57.65424
1066,57.65469
1067,57.65322
1068,57.65317
1069,57.652874
1070,57.67381
1071,57.65203
1072,57.652153
1073,57.635605
1074,57.63598
1075,57.63237
1076,57.58504
1077,58.589546
1078,58.248405
1079,57.53259
1080,75.26596
1081,76.16786
1082,76.17782
1083,75.71287
1084,75.61545
1085,75.650566
1086,75.64471
1087,75.641945
1088,76.212395
1089,75.60657
1090,77.06042
1091,75.341705
1092,67.028854
1093,67.028854
1094,66.929726
1095,66.67495
1096,66.82896
1097,66.30981
1098,67.76056
1099,67.77399
1100,66.15771
1101,66.716034
1102,68.34206
1103,67.8177
