No,UHH
1,65.31656
2,56.569515
3,60.64186
4,57.243458
5,60.838093
6,57.44001
7,62.5545
8,57.246124
9,54.49362
10,57.422455
11,58.728935
12,64.376076
13,62.95044
14,64.67498
15,67.25708
16,53.58673
17,54.97554
18,53.68991
19,53.683193
20,48.835506
21,49.78405
22,52.11993
23,50.677475
24,52.768513
25,52.40438
26,50.753716
27,49.177834
28,53.385815
29,57.14664
30,57.6569
31,58.510025
32,59.560116
33,55.09499
34,55.11571
35,55.133663
36,57.06778
37,55.43376
38,55.43372
39,55.433678
40,55.469284
41,55.507484
42,55.817745
43,54.13563
44,54.22453
45,54.091156
46,55.879898
47,55.87323
48,54.08246
49,54.134068
50,54.094845
51,54.14124
52,54.03042
53,54.167328
54,69.499756
55,69.500015
56,69.50018
57,69.500435
58,69.5006
59,70.543976
60,69.54669
61,70.19855
62,69.55093
63,69.55102
64,69.59455
65,68.4808
66,70.23225
67,69.59013
68,69.59022
69,69.59801
70,70.28009
71,70.54317
72,69.59598
73,69.637634
74,70.65745
75,69.679825
76,69.68559
77,70.6951
78,69.72489
79,70.409
80,70.39116
81,70.50654
82,69.814835
83,70.76909
84,69.81526
85,69.955444
86,72.921814
87,69.40895
88,70.40528
89,70.40545
90,70.48561
91,70.444405
92,70.4852
93,70.444565
94,71.19202
95,71.19228
96,70.44483
97,71.19335
98,71.21591
99,71.27458
100,70.45093
101,71.20984
102,67.9348
103,70.4506
104,71.21063
105,70.450676
106,70.489204
107,71.23987
108,70.48963
109,71.24093
110,70.52697
111,71.24173
112,71.32829
113,70.49006
114,71.24252
115,70.490234
116,70.49031
117,71.24305
118,70.49048
119,71.32672
120,70.490906
121,71.24571
122,71.32435
123,71.24652
124,70.4915
125,70.49523
126,70.4954
127,71.22446
128,71.31144
129,71.28452
130,71.32661
131,70.57932
132,70.5795
133,71.40439
134,71.37439
135,70.579666
136,69.74565
137,71.339005
138,71.403595
139,71.33954
140,71.40254
141,70.580345
142,71.40123
143,70.58069
144,69.62256
145,71.39964
146,71.343796
147,71.39832
148,70.54439
149,70.585266
150,71.35655
151,71.386475
152,70.58551
153,67.1889
154,71.38516
155,70.63007
156,70.630325
157,71.40573
158,71.29884
159,72.10633
160,72.121506
161,71.34373
162,72.18744
163,71.748505
164,71.748924
165,71.75453
166,72.724594
167,72.70812
168,72.80487
169,72.82778
170,71.968185
171,72.73714
172,73.137054
173,72.19859
174,72.19893
175,73.116646
176,73.2159
177,72.24399
178,73.72951
179,73.19517
180,73.19798
181,72.28526
182,72.28964
183,73.20224
184,72.294136
185,72.33334
186,72.33377
187,73.29236
188,72.339195
189,72.64907
190,72.64873
191,71.85426
192,73.65908
193,73.733
194,73.158
195,74.17453
196,73.26814
197,60.078533
198,60.036972
199,60.036125
200,60.17462
201,60.065887
202,60.11533
203,60.269764
204,60.870983
205,61.25493
206,60.32994
207,60.9321
208,60.32148
209,60.19453
210,60.346764
211,60.230686
212,60.19612
213,60.316517
214,60.31145
215,60.311195
216,60.21341
217,60.364906
218,60.412518
219,60.98209
220,60.31042
221,60.96497
222,60.43525
223,60.460136
224,60.33561
225,58.60788
226,60.35933
227,60.45714
228,60.946205
229,61.02495
230,61.025414
231,60.947266
232,60.95755
233,60.976498
234,61.014885
235,61.015133
236,61.016228
237,61.07852
238,61.078262
239,61.01284
240,61.073284
241,60.995644
242,61.013878
243,59.243065
244,61.126907
245,61.54341
246,61.126476
247,61.54236
248,61.126133
249,61.027798
250,61.54209
251,61.125877
252,61.54104
253,61.56076
254,61.54025
255,61.539986
256,61.53946
257,61.125187
258,61.03205
