No,UHH
1,71.8062559549953
2,60.38647297183705
3,62.45849746709823
4,60.430263097946316
5,63.96134767197365
6,62.940114817480556
7,64.23831348589675
8,56.86523532944805
9,54.46058079258319
10,55.74690207892624
11,58.288812581051744
12,67.59255321617225
13,71.11210929523088
14,68.25865142347706
15,67.11917129832788
16,58.23961569723614
17,58.78321136040267
18,58.24196933382291
19,58.899339980296524
20,53.701517587354125
21,52.95142475296163
22,54.15557140747472
23,53.89564837906437
24,53.60357087088881
25,55.76501462286502
26,53.087821171099044
27,53.76038169523677
28,55.8908818628065
29,55.18467590471285
30,57.22513840222435
31,61.58013303081237
32,58.408367137758454
33,56.25680923334267
34,57.277163718081326
35,57.42935470785192
36,57.68210907468119
37,57.593837193051144
38,57.59868234293522
39,57.95793201307243
40,58.97688034648929
41,59.283562446745684
42,59.10772689300956
43,58.129643352579684
44,59.141405439997115
45,58.19262069042062
46,59.557422218233285
47,59.736552098817995
48,59.84444113727722
49,59.397927958081986
50,60.20241266004979
51,59.94195584111791
52,60.30770057391089
53,59.295649814375544
54,70.10450007810734
55,70.3811118196258
56,70.80131416168821
57,69.43814443599389
58,68.12900418797255
59,68.67330946386747
60,67.03166902548888
61,66.98254790509858
62,66.85355271404373
63,67.48361492355956
64,68.87881077389797
65,66.93524403122869
66,68.15873158554197
67,68.70107832875378
68,68.54367854458506
69,70.18973626731578
70,69.37130543666977
71,70.40990573628655
72,70.2296708149325
73,69.42764503825293
74,68.29824912819977
75,67.96801554850198
76,68.16983538779218
77,68.99722103541285
78,68.30807307381764
79,68.32904586402086
80,68.31665798737134
81,67.78644006639827
82,68.00789594097044
83,68.58782798530804
84,68.09839557087176
85,69.03515470647507
86,68.92550640974673
87,71.55704247963261
88,71.76137846476877
89,70.37919189718632
90,70.29635149624046
91,70.11036217056355
92,70.33883587642492
93,70.33931713659939
94,70.47844566480713
95,69.93589992085592
96,69.66746621316477
97,69.33965267030929
98,70.37925287591892
99,69.68367629945342
100,70.09018044562274
101,69.63151364174257
102,71.33172052601263
103,70.04981731532301
104,69.64047369411682
105,70.16694839323299
106,70.58759767386091
107,70.18717791488622
108,70.061927336024
109,69.99527399900289
110,69.9073955151359
111,69.9099873812188
112,69.84229346638969
113,69.69636279476272
114,69.84241912444773
115,69.67012088903813
116,69.66025265654015
117,69.89715724611149
118,69.60888592627316
119,69.82488133394936
120,69.5385064471466
121,69.81837234449506
122,69.97848928914672
123,69.75190948327821
124,69.6934024554725
125,70.0677436557312
126,69.77559600128002
127,69.85469058553288
128,69.6005326746286
129,70.03656022306151
130,70.19432880322351
131,70.36074805128891
132,70.26616380811006
133,69.75866978598452
134,69.65659407005157
135,69.95416268693451
136,69.51118217933058
137,69.448282262966
138,69.4459723591102
139,69.58325564959252
140,69.88316024657733
141,69.84410176119697
142,69.96241798515108
143,69.89400008476926
144,69.2184004618885
145,69.62002569145575
146,69.34708870638488
147,69.78969889069454
148,70.02202329619124
149,69.50434247783814
150,69.49448883266933
151,70.11952563138402
152,69.37431610882209
153,69.08790929104292
154,70.28995554665775
155,69.27121499865636
156,69.91581929994497
157,69.7404941335642
158,72.03919494595911
159,72.36287664343261
160,72.46024362307531
161,71.16717090319038
162,71.38857235490588
163,68.66751019001366
164,68.48685752003226
165,67.44981398728822
166,65.08623288892335
167,63.5724788359091
168,68.04150604061618
169,68.4197061554542
