No,UHH
1,61.79529154
2,60.13502606
3,61.20526002
4,60.78057816
5,60.77301667
6,59.55693882
7,60.40792693
8,60.39868098
9,59.5772136
10,59.96813307
11,60.62819732
12,59.20813356
13,60.21659283
14,60.01714894
15,60.46336905
16,60.93682541
17,60.28685664
18,59.52932061
19,59.39794927
20,60.29412537
21,60.36772033
22,59.84298068
23,59.85019547
24,59.8573923
25,59.42684439
26,59.8788751
27,59.89310736
28,60.28140779
29,59.85085988
30,60.74703599
31,59.85693042
32,59.86902227
33,60.24333377
34,59.79993052
35,60.5950011
36,60.23326159
37,59.77621776
38,59.78049477
39,59.34994686
40,60.24612297
41,59.35421383
42,59.79326579
43,60.26735855
44,59.81015587
45,59.61274369
46,59.80140496
47,59.37085705
48,57.6933967
49,60.26703316
50,60.27416429
51,60.28127755
52,58.9321146
53,59.61271281
54,59.59888769
55,60.03312626
56,57.59532199
57,59.87178856
58,60.30647765
59,59.87185201
60,63.11020017
61,60.48396487
62,60.66735448
63,61.60089093
64,61.17034302
65,61.61413368
66,61.18358577
67,61.37088914
68,62.19507858
69,61.62737939
70,61.19683148
71,61.64062803
72,62.65174641
73,61.21008012
74,60.52206272
75,60.09151481
76,60.54870745
77,60.09408859
78,60.11815954
79,60.56203344
80,60.27276813
81,60.13148553
82,65.34747034
83,61.05301581
84,62.52465712
85,61.05432078
86,60.60202571
87,60.61536117
88,60.64203903
89,61.10766723
90,61.66882197
91,60.66872603
92,59.55757991
93,60.68207291
94,60.69542203
95,61.16105023
96,60.70877335
97,60.27822544
98,60.72212687
99,61.42338645
100,60.29157896
101,61.01771243
102,61.20111077
103,60.74884042
104,61.43787513
105,61.03695059
106,61.48631176
107,60.37516564
108,61.49976136
109,61.96538955
110,61.51321207
111,61.67189455
112,60.40206594
113,60.88325798
114,61.08266416
115,61.52666388
116,60.38309837
117,61.09611597
118,60.67119432
119,61.55357073
120,60.4424246
121,61.12302282
122,61.13647782
123,60.37458221
124,60.07540565
125,60.84021041
126,60.38805624
127,59.95750833
128,60.85368444
129,60.40153088
130,60.41500611
131,60.45543516
132,60.48239048
133,60.49586887
134,60.96149707
135,60.50934772
136,60.52282702
137,60.54978688
138,60.5767483
139,60.14620039
140,61.05585775
141,61.70284949
142,60.17316323
143,61.06933934
144,60.18664514
145,61.08282124
146,60.21360983
147,61.71068737
148,60.65764048
149,61.12326868
150,60.67112348
151,61.15023489
152,60.73854148
153,61.20416968
154,60.75202556
155,61.78386742
156,60.90116407
157,61.79734018
158,60.91463617
159,60.61919938
160,61.35865549
161,60.23493038
162,60.92810758
163,61.82428369
164,61.38559621
165,60.9550483
166,61.85122441
167,60.245896
168,60.25934104
169,59.82879313
170,59.8506468
171,59.85567959
172,61.18316043
173,61.64878863
174,60.19366071
175,59.85450563
176,59.76283385
177,60.21983307
178,60.41374584
179,60.68546127
180,60.23305415
181,59.80250624
182,60.25948708
183,60.27269889
184,59.84215098
185,60.28590757
186,60.29911312
187,59.18796699
188,60.76474131
189,60.3123155
190,60.3255147
191,60.7911429
192,60.33871071
193,60.93829624
