No,UHH
1,61.06544091
2,59.35841595
3,59.53603644
4,59.05174101
5,59.07395337
6,59.81786555
7,59.02751245
8,59.0259276
9,59.71535116
10,58.65648563
11,56.69281745
12,55.19650631
13,56.22542834
14,58.72719752
15,59.07226085
16,59.42964955
17,58.94193086
18,58.42969918
19,58.25261001
20,58.97078686
21,58.94884077
22,58.68161538
23,58.71231722
24,58.7436287
25,58.37418673
26,58.84119154
27,58.90922677
28,61.84850665
29,61.47906468
30,62.19724153
31,61.541688
32,61.66790951
33,58.10905597
34,58.04203924
35,63.0164888
36,59.07714536
37,58.84409877
38,58.90136466
39,58.53192269
40,59.25009954
41,58.58879712
42,59.0707959
43,59.53046896
44,59.29101896
45,61.25601951
46,61.31661101
47,60.94716904
48,56.32555017
49,61.66534589
50,61.67099493
51,61.67393868
52,58.57732349
53,59.50234941
54,65.80569381
55,66.06118971
56,54.07421138
57,57.30583087
58,57.54976617
59,57.20383805
60,60.79363099
61,57.90119253
62,59.14936052
63,59.63219094
64,59.26274897
65,59.71521328
66,59.34577132
67,61.01457596
68,60.11305121
69,59.79770562
70,59.42826366
71,59.87966866
72,60.56510403
73,59.51022669
74,58.0253848
75,57.65594284
76,58.16083957
77,57.72899958
78,57.7913976
79,58.22781068
80,59.01013656
81,57.85836871
82,65.11669526
83,58.67414222
84,61.86110125
85,58.70898049
86,58.42571158
87,58.490678
88,58.61911658
89,58.96785146
90,59.90731071
91,58.7455703
92,57.45110241
93,58.80805567
94,58.87004826
95,59.21878314
96,58.93154923
97,58.56210726
98,58.99255975
99,60.75432624
100,58.62311778
101,60.47161949
102,59.4018159
103,59.11311423
104,60.84173667
105,59.73044422
106,61.702904
107,60.40843611
108,61.73784207
109,62.08657695
110,61.77237736
111,62.42947141
112,60.47790947
113,59.70256992
114,61.40293539
115,61.80651163
116,59.64673615
117,61.43706966
118,59.64908366
119,61.87358425
120,60.57911637
121,61.50414228
122,61.53708421
123,61.94886917
124,61.75651637
125,62.29760405
126,61.97322519
127,61.60378322
128,62.32196007
129,61.99723104
130,62.02088873
131,62.08979283
132,62.1340249
133,62.15563582
134,62.5043707
135,62.17691271
136,62.19785763
137,62.23875976
138,62.27835874
139,61.90891677
140,62.64640962
141,64.01906735
142,61.94722922
143,62.66540607
144,61.96590823
145,62.68408507
146,62.0023223
147,63.98917833
