No,UHH
1,60.85936603
2,60.0890646
3,60.94271982
4,60.51927922
5,60.5519968
6,59.67624945
7,59.8234245
8,59.8399264
9,59.69051396
10,59.48359996
11,60.50911172
12,59.06921775
13,60.16786639
14,59.55456087
15,60.53694384
16,60.99620011
17,60.43168515
18,59.57863383
19,59.63255775
20,60.44000251
21,60.43189166
22,60.0055361
23,60.01387064
24,60.02221091
25,59.66588447
26,60.04726603
27,60.063998
28,60.56774438
29,60.21141794
30,61.01886269
31,60.22012326
32,60.23755041
33,60.42733086
34,60.0117433
35,61.05219667
36,60.42729752
37,59.99498346
38,60.00439321
39,59.64806677
40,60.45551153
41,59.65748162
42,60.03265298
43,60.5026365
44,60.07040368
45,60.28019967
46,59.97012634
47,59.6137999
48,60.56935321
49,60.42124465
50,60.44102598
51,60.46082642
52,59.29443176
53,60.31735688
54,59.6304492
55,59.99755964
56,60.01178818
57,60.39525905
58,60.76265489
59,60.40138628
60,63.40090611
61,59.77874306
62,60.35377333
63,61.14037534
64,60.7840489
65,61.15408823
66,60.79776179
67,60.86942016
68,61.02948018
69,61.16780255
70,60.8114761
71,61.18151828
72,61.4199919
73,60.82519184
74,60.1903412
75,59.83401476
76,60.21784901
77,59.84437589
78,59.86152256
79,60.23160494
80,59.44348154
81,59.8752785
82,60.76392543
83,60.70505372
84,59.8268505
85,60.71023918
86,60.27288086
87,60.2866422
88,60.3141689
89,60.76528722
90,60.48888867
91,60.34170097
92,58.96244942
93,60.35546901
94,60.36923839
95,60.8203567
96,60.38300909
97,60.02668265
98,60.39678112
99,60.90214708
100,60.04045468
101,60.56813181
102,60.8616728
103,60.42432917
104,60.92110606
105,60.28982898
106,61.18391456
107,59.804663
108,61.19776001
109,61.64887832
110,61.21160667
111,61.23826632
112,59.83235511
113,60.77505005
114,60.85528023
115,61.22545453
116,60.35520688
117,60.86912809
118,60.61395356
119,61.25315383
120,59.87390228
121,60.89682739
122,60.91067884
123,60.20932133
124,59.79907097
125,60.66043964
126,60.22319965
127,59.86687321
128,60.67431797
129,60.23707912
130,60.25095973
131,60.29260837
132,60.3203798
133,60.33426721
134,60.78538552
135,60.34815575
136,60.3620454
137,60.38982809
138,60.41761524
139,60.0612888
140,60.8826288
141,61.36765056
142,60.08908041
143,60.89652516
144,60.10297788
145,60.91042263
146,60.13077613
147,61.38912182
148,60.50100336
149,60.95212167
150,60.51490525
151,60.97992654
152,60.58443112
153,61.03554943
154,60.59833956
155,61.63456789
156,60.84107641
157,61.64852117
158,60.85503069
159,60.67201648
160,61.2253124
161,60.34983242
162,60.86898596
163,61.67643071
164,61.25322592
165,60.89689948
166,61.70434423
167,60.22724856
168,60.24123085
169,59.88490441
170,59.90181013
171,59.9128718
172,61.20815649
173,61.6592748
174,60.27716784
175,59.83366498
176,59.92978856
177,60.31425177
178,60.4942258
179,60.76537008
180,60.32832124
181,59.9719948
182,60.35646236
183,60.370534
184,60.01420756
185,60.38460636
186,60.39867943
187,59.01942788
188,60.84979775
189,60.41275323
190,60.42682773
191,60.87794604
192,60.44090294
193,60.95977943
194,60.0845765
195,60.89202126
196,60.45497887
197,58.5253706
198,60.48313283
199,60.93425114
200,61.63022856
201,60.49721087
202,60.94832918
203,61.42587018
204,60.51128961
205,60.56761153
206,60.58169375
207,60.22536731
208,60.59577665
209,60.23945021
210,61.04689496
211,60.44988287
212,61.68130732
213,61.25841461
214,60.90208817
215,61.70953292
216,61.2725283
217,61.30075748
218,60.95854651
219,61.32898901
220,60.1658902
221,60.45378608
222,60.97266257
223,61.78010732
224,60.43440392
225,59.91693263
226,60.28738921
227,59.93106277
228,60.47839708
229,60.10268886
230,60.81784689
231,61.24940347
232,60.89307703
233,60.86747928
234,60.91166763
235,60.93556689
236,60.68035384
237,60.2424242
238,60.70672965
239,60.7330993
240,60.29516351
241,60.77264224
242,60.69798137
243,60.79235914
244,61.59980389
245,60.23363788
246,60.69778382
